name,line1,line2,lat_deg,lon_deg,alt_m
SL-14 R/B,1 16882U 86055B   26029.88451919  .00000878  00000+0  98288-4 0  9994,2 16882  82.5226 163.1339 0020373  99.9397  25.3380 14.85598213113607,-12.591871269387994,-136.17584204214086,622199.0907993403
AJISAI (EGS),1 16908U 86061A   26030.09882028 -.00000073  00000+0  17244-3 0  9994,2 16908  50.0064 212.0147 0011258 187.7299 290.7709 12.44515380463198,-29.682410008053683,-114.61808823879058,1502071.3181819108
COSMOS 1812,1 17295U 87003A   26030.06265228  .00218269  15874-4  72875-3 0  9993,2 17295  82.4791 239.2079 0000758  21.9181 338.2124 15.90126175138294,37.92502554675828,115.79793782270777,307121.05654826306
SL-14 R/B,1 17567U 87024B   26030.12523898  .00000759  00000+0  83643-4 0  9994,2 17567  82.5301 129.0048 0018992  32.5205 327.7177 14.86092651 82407,16.449279950894404,-166.2012223290108,599708.9086332778
COSMOS 1833,1 17589U 87027A   26030.13840667  .00000180  00000+0  12208-3 0  9994,2 17589  70.9200  47.0418 0024701 265.7826  94.0472 14.13053432  4875,-37.997058553471646,-55.14582684311814,850180.0523032439
SL-16 R/B,1 17590U 87027B   26030.08253565  .00000255  00000+0  15033-3 0  9997,2 17590  71.0043 357.8470 0005672 205.2549 154.8298 14.17161921  9874,27.744916643065007,-130.42861433569206,835455.7984812068
SL-14 R/B,1 17912U 87038B   26030.10032640  .00000837  00000+0  94372-4 0  9999,2 17912  82.5040 333.1497 0017847 294.5051  65.4303 14.85327102 73503,31.316093766140085,-148.8537235617239,626826.7878378455
COSMOS 1844,1 17973U 87041A   26029.50712867 -.00000016  00000+0  16787-4 0  9992,2 17973  70.8986 116.8249 0028535  80.8066 279.6281 14.14534862998042,-16.175596922798903,3.4466597140243325,859269.2720999678
SL-14 R/B,1 18153U 87055B   26030.08392660  .00000727  00000+0  80947-4 0  9995,2 18153  82.4982  25.4143 0021697 137.9357 222.3530 14.85580447 64207,-56.62101910473187,-80.57226961765473,636457.631292143
COSMOS 1867,1 18187U 87060A   26029.45843359  .00000005  00000+0  39573-4 0  9991,2 18187  65.0103  56.5701 0014010 275.7413  84.2074 14.31496263 14325,30.04763186869393,-78.89721774498732,795832.766133197
SL-14 R/B,1 18749U 88001B   26030.00926288  .00000652  00000+0  72545-4 0  9991,2 18749  82.5103 231.7445 0018355  11.1013 349.0604 14.85481467 36288,-80.79894207525389,-119.60392225626434,641173.8663570475
COSMOS 1933,1 18958U 88020A   26030.09130139  .00005663  00000+0  27998-3 0  9993,2 18958  82.5142 289.0945 0004174 358.4163   1.7057 15.17640351 44379,-59.71041417274425,-175.4404246886301,537335.808448244
SL-3 R/B,1 19046U 88032B   26030.08072691  .00008673  00000+0  40920-3 0  9996,2 19046  97.5129  13.5013 0026699  13.0301 347.1617 15.19387101 46249,-59.07660649631552,89.4371342087823,524614.6070850479
SL-16 R/B,1 19120U 88039B   26030.08485097  .00000173  00000+0  10448-3 0  9993,2 19120  71.0151 150.1784 0020458  34.1106 326.1329 14.19609738952909,35.19658964770524,18.313836470613378,835620.7955377491
COSMOS 1953,1 19210U 88050A   26030.18789388  .00012601  00000+0  46336-3 0  9991,2 19210  82.5074 196.9404 0010370 259.2480 100.7592 15.27714395 31906,79.73718688821278,-54.179129418717764,503056.82117716596
SL-8 R/B,1 19257U 88053B   26029.87130235  .00000343  00000+0  11976-3 0  9992,2 19257  74.0470 184.0104 0019939  11.0686 101.7503 14.38891245971019,-50.76300000593462,-134.55230430856977,775076.9731298798
COSMOS 1975,1 19573U 88093A   26029.42533632  .00015149  00000+0  56349-3 0  9999,2 19573  82.5214 157.0645 0010624 312.5559  47.4782 15.27338837 13418,-46.95252172720688,-149.1052601689275,494630.84196923865
SL-14 R/B,1 19574U 88093B   26030.12880088  .00000668  00000+0  74080-4 0  9992,2 19574  82.5287  78.2528 0021178 161.7253 219.2191 14.85613558995314,17.438221494445568,143.1918331533636,625914.3561615368
SL-16 R/B,1 19650U 88102B   26029.98500429 -.00000204  00000+0 -79155-4 0  9994,2 19650  70.9973 232.9324 0012026  65.9286 294.3094 14.16147077921416,-65.26756217986987,-113.21708360489649,869245.3720852559
INTERCOSMOS 24,1 20261U 89080A   26030.04182048  .00000645  00000+0  18433-3 0  9990,2 20261  82.6077 129.5542 1188567  22.5359 342.3735 12.59506476661930,44.12915482090951,4.989723183025801,1711011.4590421335
SL-14 R/B,1 20262U 89080C   26029.90789041  .00000404  00000+0  12276-3 0  9992,2 20262  82.5930 198.0854 1229439 273.4527  72.7053 12.50449729655302,-14.267900715577463,-101.250449976386,1091029.4353452898
DELTA 1 R/B,1 20323U 89089B   26030.13166286  .00000642  00000+0  16779-3 0  9992,2 20323  97.0731 243.6957 0067712 244.0803 115.3406 14.50628104890142,-59.808922529247944,-40.87066411587136,720010.4556933835
ARIANE 40 R/B,1 20443U 90005H   26030.10665878  .00000431  00000+0  15069-3 0  9990,2 20443  98.3167  91.9016 0009355 326.1120  33.9470 14.39843073887250,55.59108743752532,142.8997528708457,768392.769166791
DELTA 2 R/B(1),1 20453U 90008B   26029.42231362  .00079793  00000+0  10902-2 0  9991,2 20453  35.6055  71.4897 0099241 254.2395 104.7376 15.50556117920028,33.14300230857783,-167.32056320759597,479906.60777878127
COSMOS 2058,1 20465U 90010A   26030.10979200  .00005287  00000+0  31474-3 0  9999,2 20465  82.4649  85.4354 0011900 104.3003 255.9549 15.10967843936419,48.436874652450264,-40.53976337782855,533623.5244035366
SL-14 R/B,1 20466U 90010B   26030.10703369  .00000719  00000+0  84099-4 0  9998,2 20466  82.5042 303.6282 0021318  68.6108 291.7379 14.83532053922767,67.85421126983248,167.44264475762589,619119.0434033033
SL-14 R/B,1 20511U 90018B   26030.08759857  .00000592  00000+0  71374-4 0  9998,2 20511  82.5192 259.1789 0015449 215.0575 144.9623 14.82105048916869,-32.240973585681225,146.45763596431607,624050.1787205139
HST,1 20580U 90037B   26029.98040843  .00010901  00000+0  36963-3 0  9999,2 20580  28.4680 303.9429 0001931  48.5567 311.5194 15.28850693767386,12.780034773012947,158.96520598248412,476906.1452572893
SL-16 R/B,1 20625U 90046B   26030.09942440 -.00000205  00000+0 -81050-4 0  9993,2 20625  70.9995  18.9574 0014301 353.0186   7.0735 14.15005789842933,56.55021549066281,112.32666954701914,847547.1373057733
COSMOS 2084,1 20663U 90055A   26029.93256171  .00004225  00000+0  30537-3 0  9992,2 20663  62.7907 107.7410 0023362 182.2184 177.8816 15.05395426930484,4.855665927103781,171.32262354031116,567784.9833391932
SL-6 R/B(2),1 20666U 90055D   26030.12892350  .00003859  00000+0  29596-3 0  9998,2 20666  62.7839  24.9603 0019116 335.3497  24.6686 15.03373793932392,16.813343397473446,95.61562314836242,548083.2095497722
SL-8 R/B,1 20775U 90078B   26030.12124156  .00023300  00000+0  69295-3 0  9999,2 20775  82.9051 285.9575 0367714 143.1921 219.5168 14.87765612803569,38.186210533689525,-5.856672409619757,661582.761697908
SL-8 R/B,1 21088U 91006B   26029.99245232  .00000013  00000+0 -28728-5 0  9996,2 21088  82.9420 198.8187 0023200 141.4408 333.4463 13.77491953758743,-62.46184517166412,-112.29021336556649,1012436.5346839526
OKEAN-3,1 21397U 91039A   26030.04110043  .00005132  00000+0  36375-3 0  9995,2 21397  82.5173  14.2745 0016006 100.9823 259.3205 15.04494135859227,44.8707704999672,-110.70118677828381,550811.3608791049
COSMOS 2151,1 21422U 91042A   26030.12655402  .00003739  00000+0  29862-3 0  9994,2 21422  82.4982 120.8709 0012442 183.5043 176.6096 14.99947836857410,26.10465165109912,-172.8694391928452,578239.6348656449
SL-14 R/B,1 21423U 91042B   26030.13254226  .00000576  00000+0  69832-4 0  9993,2 21423  82.4908 256.3473 0017376  12.8845 347.2809 14.81792771847365,-27.714600943101072,-45.00715185853052,624696.4881469094
ERS-1,1 21574U 91050A   26030.04886757  .00000573  00000+0  19815-3 0  9991,2 21574  98.7895  47.3119 0031267 318.4240  41.4570 14.39415394810174,-5.008739361476783,111.41720604226961,746511.2187721344
ARIANE 40 R/B,1 21610U 91050F   26030.12232157  .00000507  00000+0  16431-3 0  9998,2 21610  98.2093  83.7912 0003231 170.2822 189.8431 14.42863270813434,-21.072896701892322,150.19741277563884,759308.476145909
INTERCOSMOS 25,1 21819U 91086A   26029.85272698  .00001757  00000+0  34503-3 0  9998,2 21819  82.6093 333.4774 1486358 200.6168 152.8304 12.11895774491989,51.79353790785892,-153.4218451341297,1108643.3408477204
SL-8 R/B,1 21876U 92008B   26030.11904903  .00000071  00000+0  57959-4 0  9997,2 21876  82.9280 296.4693 0033454 241.6506 228.8918 13.75968751704110,23.169663021228565,2.1464044487398275,1000561.2104808113
SL-8 R/B,1 21938U 92020B   26030.16289131  .00000155  00000+0  14448-3 0  9992,2 21938  82.9314 182.3588 0029826  47.2023 125.4763 13.75542992695838,-47.49159549394386,72.77556407007084,1020050.2914166856
USA 81,1 21949U 92023A   26029.39855773  .00000328  00000+0  11413-3 0  9992,2 21949  85.0116 154.0946 0002269 111.3726 248.7708 14.32351859 89168,82.48929760542748,-4.800785808342482,795899.5467246085
COSMOS 2219,1 22219U 92076A   26030.18070778 -.00000229  00000+0 -95461-4 0  9992,2 22219  71.0599  98.5749 0020738 260.5954  99.2824 14.14079279712932,6.339823020123605,163.06088486844172,851506.1593074298
SL-16 R/B,1 22220U 92076B   26030.09588270  .00000144  00000+0  95752-4 0  9992,2 22220  70.9987 269.6725 0012130 163.8846 346.2219 14.16850848716365,-48.63681746938241,174.69625045884183,851173.1516203935
COSMOS 2221,1 22236U 92080A   26029.84620943  .00003284  00000+0  28993-3 0  9999,2 22236  82.5066 316.2769 0013623 329.8308  30.2128 14.96030767774980,82.52465820184408,113.04041532615253,597845.4533276721
SL-16 R/B,1 22285U 92093B   26030.15353059 -.00000145  00000+0 -49939-4 0  9993,2 22285  71.0213  85.1670 0004851 334.6408  25.4476 14.15443370707709,31.43108972805496,-44.647970416204544,847757.1357597691
COSMOS 2228,1 22286U 92094A   26030.08845347  .00003711  00000+0  31907-3 0  9998,2 22286  82.5177 274.2718 0019531  72.8514 287.4844 14.97011018770282,-48.02698519199165,165.1674309471464,607251.9594529178
SL-16 R/B,1 22566U 93016B   26030.11944200  .00000293  00000+0  17489-3 0  9997,2 22566  71.0086 296.1936 0009617   9.4690 350.6612 14.15301654696714,-37.64636974319726,-16.93766204686413,850484.9871875051
COSMOS 2242,1 22626U 93024A   26030.12122907  .00003188  00000+0  27841-3 0  9995,2 22626  82.5212 303.6006 0017995  76.0060 284.3161 14.96378057774629,50.326948576015134,15.235161627517682,574731.6467876075
SL-16 R/B,1 22803U 93059B   26030.15121919 -.00000022  00000+0  12739-4 0  9991,2 22803  70.9897  92.4008 0019551 269.0080  90.8804 14.17223165674071,18.900857566922205,-32.092764356985334,841127.8727296335
ARIANE 40 R/B,1 22830U 93061H   26028.75525090  .00000415  00000+0  16793-3 0  9993,2 22830  98.5001  98.4141 0011422  47.3505 312.8640 14.32838698688380,5.476945471929266,-16.185636847429745,790125.1371126996
COSMOS 2278,1 23087U 94023A   26030.05305799 -.00000156  00000+0 -56753-4 0  9990,2 23087  71.0517 255.9330 0006280  86.4869 273.6972 14.14366398639343,-57.72083204566677,-74.75015358901602,870159.5797753908
SL-16 R/B,1 23088U 94023B   26029.48082820 -.00000206  00000+0 -81692-4 0  9999,2 23088  71.0005 153.2300 0004295 321.2380  38.8433 14.15005872640540,-26.723535755861846,-155.85885161370075,848698.2999759243
SL-16 R/B,1 23343U 94074B   26030.03647444  .00000777  00000+0  11086-3 0  9991,2 23343  97.7156  62.4114 0006434   0.4842  55.8664 14.79359406681530,2.8604762562276598,-53.88506161067902,638553.1513530979
SL-16 R/B,1 23405U 94077B   26030.11373568 -.00000208  00000+0 -81807-4 0  9995,2 23405  70.9821  73.6477 0004701 246.6954 113.3674 14.15557826610775,-10.093946004950398,132.31632179020582,845459.7399980708
ARIANE 40+ R/B,1 23561U 95021B   26030.17034264  .00000454  00000+0  15885-3 0  9994,2 23561  98.4576 102.1595 0005731 254.2623 133.0850 14.39742315613707,65.18280408850008,4.009924166342027,773703.9755512656
SL-16 R/B,1 23705U 95058B   26030.04815869 -.00000003  00000+0  22860-4 0  9991,2 23705  71.0192 261.3831 0012869 188.5262 171.5645 14.15487906562389,-34.43128474042742,-50.14991512823506,859742.8355244985
SL-16 R/B,1 24298U 96051B   26030.07252439  .00000084  00000+0  72028-4 0  9993,2 24298  70.7568 256.9793 0018204 201.2437 158.7929 14.12404647516191,-14.238624680023104,144.1104655924833,843372.7146113676
ORBVIEW 2 (SEASTAR),1 24883U 97037A   26030.15103626  .00000483  00000+0  18409-3 0  9995,2 24883  98.8501 193.4563 0002553 152.5189 207.6131 14.35463377502948,-1.6531246392802936,76.42857142972174,775104.4282050885
SL-16 R/B,1 25400U 98043G   26030.14160789  .00000119  00000+0  68624-4 0  9992,2 25400  98.8191 343.2475 0010710 122.8336 237.3876 14.26040036433496,-39.18451375738287,-140.74745732292894,820920.4566753971
SL-16 R/B,1 25407U 98045B   26030.07809693 -.00000116  00000+0 -34298-4 0  9996,2 25407  71.0099 262.7742 0005067  81.6928 278.4770 14.16186989421632,7.465503994336815,142.29639167142517,840078.8252557468
ISS (ZARYA),1 25544U 98067A   26030.04787936  .00009583  00000+0  18620-3 0  9999,2 25544  51.6322 263.3755 0011104  44.3027 315.8848 15.48277515550348,10.429688872348077,135.8874926500754,425585.29383746773
CZ-4B R/B,1 25732U 99025C   26030.14755161  .00000091  00000+0  64654-4 0  9993,2 25732  98.6701  75.3289 0038175  95.7594 333.7674 14.18257141382706,-67.94345356149195,-63.440169442382036,881683.3802066039
OKEAN-O,1 25860U 99039A   26030.12289426  .00001152  00000+0  15820-3 0  9993,2 25860  97.9526  90.3903 0001900  94.1213 266.0216 14.80268754428681,21.731928307834096,150.46091827425684,630792.9599477719
SL-16 R/B,1 25861U 99039B   26030.13925699  .00000946  00000+0  12685-3 0  9990,2 25861  98.0049  89.2770 0015381  27.3988 332.8032 14.81674122431153,-62.74359393683057,168.2621770656285,648088.1922649388
DELTA 2 R/B,1 25876U 99041E   26029.43435296  .00003580  00000+0  61285-3 0  9996,2 25876  51.7642  98.0351 0502696 232.4384 122.9875 14.11663460357488,-9.71357419453538,-15.466227167481417,583057.0249812364
HELIOS 1B,1 25977U 99064A   26029.97055196  .00002679  00000+0  30174-3 0  9990,2 25977  98.1738 291.0692 0001572 127.5095 232.6263 14.87530354679502,53.110103431400475,-174.5429650906264,613237.4979909858
TERRA,1 25994U 99068A   26030.14925707  .00000731  00000+0  15830-3 0  9997,2 25994  97.9673  85.0404 0001302 333.3538  48.3227 14.60970508389452,-60.39471051276445,-45.93097126165079,713341.7873974005
SL-16 R/B,1 26070U 00006B   26029.87151104  .00000322  00000+0  18765-3 0  9993,2 26070  71.0019 179.4553 0018573 243.9267 115.9945 14.15817351343062,34.16226527213548,47.67516071252713,845664.6869175656
TITAN 4B R/B,1 26474U 00047B   26030.12997090  .00005864  00000+0  37006-3 0  9993,2 26474  67.9895 148.9100 0036680  83.6126 276.9198 15.09232384387097,18.431190113163968,-141.4251228863764,528803.1939358998
ENVISAT,1 27386U 02009A   26029.47525705  .00000225  00000+0  86829-4 0  9996,2 27386  98.3664 344.0228 0001242  92.0816  18.2921 14.39021349253539,-14.660702883884776,-134.29868082958,767968.910725233
IDEFIX & ARIANE 42P R/B,1 27422U 02021B   26030.10944090  .00000464  00000+0  19293-3 0  9990,2 27422  98.5834 329.1865 0010950 305.0536  54.9619 14.30996347238505,30.32316497948758,27.40615395303637,791751.6176730533
AQUA,1 27424U 02022A   26030.15660995  .00001697  00000+0  34917-3 0  9996,2 27424  98.4105 356.8410 0001789  61.2190  29.5240 14.61876097263102,-81.24441928401603,132.77944769506615,716412.0367440971
CZ-4B R/B,1 27432U 02024C   26030.09241917  .00000075  00000+0  61183-4 0  9994,2 27432  98.8922  83.6780 0050930 131.9953 258.4980 14.14540189223783,52.618448941448264,-21.292028342769882,815714.4286985641
MIDORI II (ADEOS-II),1 27597U 02056A   26030.16066668  .00000512  00000+0  21906-3 0  9991,2 27597  98.7704 348.3895 0002051  97.1048 263.0367 14.29253606204791,54.13965869452093,-116.14039702057643,801815.3018377463
H-2A R/B,1 27601U 02056E   26029.90585941  .00000543  00000+0  20536-3 0  9999,2 27601  98.3132 351.7650 0069076 277.4198 146.0098 14.33730495208554,66.60360795881142,35.57919512096499,834451.3808666937
CZ-4B R/B,1 28059U 03049C   26029.94190350  .00000786  00000+0  19182-3 0  9994,2 28059  98.6834  23.3404 0048062 351.3692   8.6672 14.54973780180960,-37.57580293139599,-99.92228853609687,746412.9345309241
CZ-2C R/B,1 28222U 04012C   26030.11343478  .00058121  00000+0  70804-3 0  9993,2 28222  97.7336  91.8692 0016703  93.3210 266.9957 15.60161613198252,6.178800204088105,-24.00381741162381,387957.30775992066
SL-16 R/B,1 28353U 04021B   26030.13072762 -.00000199  00000+0 -79041-4 0  9992,2 28353  71.0019 313.4140 0002645 106.9708 253.1704 14.14590282117383,-69.47561369037967,-98.20131898930997,870918.9577353415
CZ-4B R/B,1 28415U 04035C   26030.02758220  .00011866  00000+0  42501-3 0  9995,2 28415  97.3562  64.7446 0034330 105.2308 255.2732 15.28334237174003,-64.89319057342139,-67.81950742554758,524059.5478747363
CZ-2C R/B,1 28480U 04046B   26029.35917907  .00000304  00000+0  12878-3 0  9991,2 28480  98.1999 306.7845 0138211 271.2621  87.2731 14.26976565102898,-79.86887447917329,64.0597810866307,731617.5772411779
ARIANE 5 R/B,1 28499U 04049H   26030.02945304  .00001670  00000+0  18956-3 0  9992,2 28499  98.2559 197.0570 0085392 116.0564 244.9472 14.85178619140053,10.87765991644373,82.00377339503305,580110.2619821941
CZ-2D R/B,1 28738U 05024B   26029.99010882  .00047039  00000+0  65530-3 0  9999,2 28738  97.3617  43.8193 0006456 140.8551 219.3172 15.56778479133759,39.90690431297005,-66.61604270351712,398276.1851400867
ALOS (DAICHI),1 28931U 06002A   26030.10584210  .00002248  00000+0  38592-3 0  9998,2 28931  98.1151 346.2750 0002131  74.9446 285.1995 14.69675387 67815,77.87239896123637,-89.16296867807195,673881.7174164817
H-2A R/B,1 28932U 06002B   26030.12910044  .00011547  00000+0  58920-3 0  9998,2 28932  98.2342 173.8799 0053551  13.6619 346.6046 15.15647210 88594,31.658696103330914,-127.94076698253468,488274.98036923684
RESURS-DK 1,1 29228U 06021A   26030.11438792  .00004381  00000+0  25702-3 0  9992,2 29228  69.9348 336.7878 0005144 212.8770 147.2077 15.12501158 81698,63.13271261527876,172.9783625930732,539651.7558763982
CZ-4B R/B,1 29507U 06046C   26030.07992596  .00007735  00000+0  39478-3 0  9992,2 29507  97.5671  75.0896 0034605  43.4319 316.9630 15.16472838 54199,-58.629742761417674,150.89504963066977,543802.7968223337
CZ-2C R/B,1 31114U 07010B   26030.04865060  .00000167  00000+0  95705-4 0  9991,2 31114  98.3970 145.2688 0059754  47.3725 313.2469 14.20232285974232,-32.53697866341814,-146.05439413915934,828194.7158220664
COSMO-SKYMED 1,1 31598U 07023A   26030.14769421  .00006166  00000+0  55166-3 0  9997,2 31598  97.8859 220.8811 0001531  83.6269 276.5126 14.96222252  9148,-81.92886632919378,27.83208875933505,607946.7544750405
COSMOS 2428,1 31792U 07029A   26030.09279808  .00000424  00000+0  25345-3 0  9995,2 31792  70.9401 284.3652 0006646 320.2624  39.8010 14.12924843958647,70.85854861754925,84.5337829695311,864339.9135745161
